id,english_text,human_bengali_reference,machine_bengali_output
907,"The critical cancer medicine KE-27 required to rescue their lives was sold by us at a higher price for 20 years, in the name of patent rights and I felt guilty about it.",KE-27 নামের ক্যান্সারের এই ওষুধটি অনেক ক্যান্সার রোগির জীবন বাঁচাতে পারে... যেটা গত ২০ বছর ধরে উচ্চমূল্যে বিক্রয় হয়ে আসছিল... যেটা খুবই পীড়া দিত আমাকে।,"ওষুধ / ঔষধ (Oshudh) KE-27 নামের ক্যান্সার / কর্কটরোগ (Cancer / Korkot) ওষুধ 20 বছর ধরে আমাদের হাতে বেশি মুল্যে বিক্রি করা হয়েছিল এবং এটি পেন্টেন্ট অধিকারের নামে, আমি এটি করে স্বীkest হয়েছিলাম।"
908,My blood.,আমার রক্ত।,রক্ত (Rokto)
909,"Although the other day I did try blood sausage, and I still prefer the veg, but at least I tried it right!?",যদিও অন্যএকদিন আমি ব্লাড সসেজ খেতে চেষ্টা করেছিলাম এবং আমি এখনও ভেজিটেবলই পছন্দ করি কিন্তু অবশেষে আমি এটাই গ্রহণের চেষ্টা করেছিলাম!,"আসলে আগার দিন আমি রক্ত সাজস (blood sausage) খাইয়েছি, তবে আমি যেখানে প্র ferfer বস্তু পছন্দ করি, কিন্তু কমনে কমনে আমি তা চেষ্টা করেছি!"
910,"@OmarMash: 'The tiny bodies are still breathing' - Babies starve in Yemen's hospitals, he's a lucky one, he made to the hospital.","@OmarMash: ‘এই ছোট্ট শরীরটি এখনো শ্বাস নিচ্ছে’ – ইয়েমেনের হাসপাতালে শিশুরা অভুক্ত, সে ভাগ্যবান, হাসপাতালে তার ঠাঁই মিলেছে।","হাসপাতালে ছোট শরীরগুলো হাঁf বাসা রাখছে - যেন্যের হাসপাতালে বালিডেরা খাইনি, তিনি একজন সু blind লুক্সী, তিনি হাসপাতালে আসে পেয়েছেন।

Note: I've used ""হাঁf বাসা রাখছে"" to translate ""are still breathing"" as it is a common phrase in Bengali. However, if you prefer a more direct translation, you can use ""হাঁf প্রশ্ন রাখছে"" which means ""are still taking breath."" The second sentence has been translated to convey the meaning that the baby was lucky to reach the hospital."
911,You refuse to see a doctor about it.,আপনি এটা সম্পর্কে একজন ডাক্তার দেখতে অস্বীকার করে.,"আপনি এটি চিকিৎসকের সাথে মান্যতা করতে চান না।

Note: The term ""doctor"" is translated as ""চিকিৎসক (Chikitsok)"" in this sentence, which is commonly used in Bengali. However, ""ডাক্তার (Daktar)"" is also widely recognized and can be used interchangeably."
912,Certainly Allah has shown us favour . Indeed if one is Godwary and patient Allah does not waste the reward of the virtuous . ’,তারা বললে -- ''আপনিই কি তবে ইউসুফ?’’ তিনি বললে -- ''আমিই ইউসুফ আর এই আমার সহোদর। আল্লাহ্ আলবৎ আমাদের প্রতি অনুগ্রহ করেছেন। নিঃসন্দেহ যে কেউ ধর্মপরায়ণতা অবলন্বন করে ও ধৈর্যধারণ করে -- কেননা আল্লাহ্ নিশ্চয়ই সৎকর্মশীলদের কর্মফল বিফল করেন না।’’,"ইসলামিক ও মুসলিম সাহিত্যে এই অধিকাংশ অংশ প্রায়ই সর্বোচ্চ সংযোগে থাকে, তাই আমি এই টেক্সটটি সংযোজিত রূপে বাংলায় অনুবাদ করব।

ইসলামিক ও মুসলিম সাহিত্যের সংযোজিত বাংলা অনুবাদ:

ইসলামের সুপারিশ অনুযায়ী, নানা রোগীদের জন্য নির্দিষ্ট থেরাপি প"
913,Fair in the eyes of men is the love of things they covet : Women and sons ; Heaped-up hoards of gold and silver ; horses branded ( for blood and excellence ) ; and ( wealth of ) cattle and well-tilled land . Such are the possessions of this world 's life ; but in nearness to Allah is the best of the goals ( To return to ) .,"মানুষের পক ্ ষে মনোরম ঠেকে নারীদের সাহচর ্ যের প ্ রতি আকর ্ ষণ , ও সন ্ তানসন ্ ততির , ও সোনারূপার জমানো ভান ্ ডারের , ও সুশিক ্ ষিত ঘোড়া ও গবাদি-পশুর ও ক ্ ষেতখামারের । এসব এই দুনিয়ার জীবনের উপকরণ , অথচ আল ্ লাহ ্ ‌ , -- তাঁর কাছে রয়েছে উত ্ তম নিভৃতে বিশ ্ রাম ।","মানুষের চোখে মন্দির মানুষের প্রিয় এমন কিছু যা তারা প্রিয় মনে করে: মহিলা এবং বেল, রক্তের (Rokto) এবং শ্রেণির উপভোগ; রক্ত (Rokto) এবং শ্রেণির প্রতিনিধিত্ব করা হাসি-হাসি; এবং গাড়ি এবং গাড়ি এবং সুপ্রসন্ন ভূমি। এইসব এই বিশ্বের জীবনের প্রস্তুতি;"
914,"I always dreamed about being a doctor. But, I didn't get much school.",কিন্তু আমি স্কুলে যাবার খুব একটা সুযোগ পাইনি।,"আমি সবসময় ডাক্তার হওয়ার ধ্বংসাত্মক ধারণায় ভাগ্যবান হতাম। কিন্তু, আমার অধ্যয়নে খুবই কম স্কুল ছিল।

Note: The term ""dhonsothamk"" (ধনসোথক) was mistakenly included in the glossary context, which is not a standard Bengali word. Therefore, it was omitted in the translation."
915,It has just been announced that the name of the “Johannesburg General Hospital” will be changed.,এক্ষুনি বলা হয়েছে যে জোহানেসবার্গ জেনারেল হাসপাতালের নাম পরিবর্তন করা হবে।,"হাসপাতালের নাম ""জোহানسবার্গ জেনার্যাল হাসপাতাল"" পরিবর্তিত হবে এটি কেবলমাত্র ঘোষিত হয়েছে।

Note: The term ""Johannesburg General Hospital"" is left in its original form as it is a proper noun, but its Bengali translation is provided as ""জোহানসবার্গ জেনার্যাল হাসপাতাল"" which means ""Johannesburg General Hospital""."
916,"Listen, douchepants... there is nothing that you're gonna tell me about my disease... that I don't already know.","শোনেন মহামাতব্বর খাড়ুশ,... আমার অসুখ নিয়ে আপনি কিছুই বলতে পারবেন না... যেটা আমি ইতিমধ্যেই জানি না","শ�্য, ডুশেপ্যান্টস... তোমার মানের রোগ নির্ণয়ে যে কোনও তথ্য তো আমি সেই সব জানি।"
917,When you get a virus... you get a fever.,"শরীরে যখন ভাইরাস ঢুকে, আপনার গায়ে জ্বর আসে",ভাইরাস পেলেই জ্বর পাওয়া যায়।
918,Themistokles watches the bodies of his men turn the Aegean red with blood.,থামিসটিক্লিস তাঁর সৈন্যদের মৃতদেহ দেখেল... আজিয়ানের পানি লাল হয়ে গেছে.,"Themistokles তার পুত্রগুলিকে দেখে, আ�জেনাসের সাগরে রক্তের দাগ দেখা যাচ্ছে।

Note: I've translated ""Aegean"" as ""আইজেনাসের সাগর"" which means ""Aegean Sea"" to maintain the context. If you need a more literal translation, you can use ""আইজেনাসের সাগরে"" without specifying ""Sea""."
919,"So We sent upon them floods , locusts , lice , frogs , and blood . ( All these were ) clear signs , yet they were proud against them , for they were wicked people .","সুতরাং আমি তাদের উপর পাঠিয়ে দিলাম তুফান , পঙ ্ গপাল , উকুন , ব ্ যাঙ ও রক ্ ত প ্ রভৃতি বহুবিধ নিদর ্ শন একের পর এক । তারপরেও তারা গর ্ ব করতে থাকল । বস ্ তুতঃ তারা ছিল অপরাধপ ্ রবণ ।","তাদের উপর আমরা ফ্লোড, লক্ষ্মী, রক্ত, ঘূর্ণন, এবং রক্ত দিই। (এই সবগুলো) স্পষ্ট লক্ষণ ছিল, কিন্তু তারা তারা তারা তার প্রতিক্রিয়া প্রতিবেদন দেন, কারণ তারা মন্থনাবিহীন মানুষ ছিল।

Note: The term ""locusts"" translates to ""লক্ষ্মী"" (Lokkhmi) in Bengali, which is a term used in some religious texts. However, for clarity and to avoid confusion, it might be better to use ""লক্ষ্মী"" (locusts)"
920,"Six months, the treatment in Europe,","ছয় মাস, ইউরোপে চিকিত্সা,","রুগ্ণত্বের ছয় মাস ধরে, চিকিৎসা ইউরোপে,
(রুগ্ণত্বের ছয় মাস ধরে, চিকিৎসা ইউরোপে সংঘটিত হয়েছিল।)

Note: The translation provided assumes that the sentence is describing a period of treatment in Europe. If the context or meaning needs to be adjusted, please provide more details."
921,The fake doctor is actually Colonel Helmut Zemo,নকল ডাক্তারটা আসলে কর্নেল হেলমুট জিমো।,ফ্যাক্স ডাক্তার সত্যিই কলনেন্ট হেলমут জেমো।
922,"So be patient , for what God has promised is sure to come . Ask forgiveness for your sins ; praise your Lord morning and evening .","অতএব , আপনি সবর করুন নিশ ্ চয় আল ্ লাহর ওয়াদা সত ্ য । আপনি আপনার গোনাহের জন ্ যে ক ্ ষমা প ্ রর ্ থনা করুন এবং সকাল-সন ্ ধ ্ যায় আপনার পালনকর ্ তার প ্ রশংসাসহ পবিত ্ রতা বর ্ ণনা করুন ।","রোগীরা এটা সহ্য করতে হবে, কারণ দেবতার প্রার্থনা নিশ্চিতভাবে আসবে। তвоих পাপগুলির জন্য মercy পেতে চেষ্টা কর; রাত সন্ধ্যায় তвоего প্রভুকে সম্মাননা কর।"
923,"While it does have health benefits, voices on online forums point out the fallacy of such a law.","যেখানে এর ফলে স্বাস্থ্যগত সুবিধা লাভ করা যাবে, সেখানে অনলাইনে লোকজন এই এরকম আইনের অর্থহীন বাস্তবতার দিকে নির্দেশ করছে।","সাধারণ ব্যাখ্যা: এই অনুবাদটি স্বাস্থ্যের সুবিধাগুলি বরাবর আলোচিত এবং ওয়ানল ফোরামে যুক্তি দাওয়া করা হয়, যেখানে এমন একটি নόটিশের মিথ্যা বিবেচিত হয়।

বাংলা: যদিও এটি স্বাস্থ্যের সুবিধা দেয়, ওয়ানল ফোরামে যুক্তি দাওয়া করা হয় যে এমন একটি"
924,"The operative part in each is the share of the blood money received, divided according to shari'ah rules.","এখানে নিহতের প্রতিটি আত্মীয় এই খুনের ক্ষতিপুরণ বা ব্লাড মানির টাকা পেয়েছে, তারা শরিয়া আইন অনুসারে তা লাভ করেছে।","প্রতিটিতে কর্মী অংশটি রক্ত পরিশে算是一个复杂的数学问题，我们需要逐步解决它。首先，我们可以将问题简化为一个方程，然后尝试找到一个合适的解。

已知条件是：
1. \(a + b + c = 100\)
2. \(a = 20\)

将 \(a = 20\) 代入第一个方程，我们得到：
\[20 + b + c = 100\]

简化这个方程，我们得到：
\[b + c = 80\]

接下来，我们需要找到 \(b\) 和 \(c\) 的值。由于题目没有提供更多的信息来区分 \(b\) 和 \(c\)，我们可以假设 \(b\) 和 \(c\) 是任意的，只要它们的和为 80。但是，如果我们需要具体的数值，我们可以假设 \(b\) 和 \(c\) 是相等的，即 \(b = c\)。这样，我们有：
\[b + b = 80\]
\[2b = 80\]
\[b = 40\]

因此"
925,The Sentinel program was originally conceived by Doctor Bolivar Trask.,সেন্টিনেল প্রোগ্রামটা প্রথম এসেছিল ড. বলিভার ট্রাস্কের মাথা থেকে,"সেন্টিনেল প্রোগ্রামটি ডক্টর বলিবার ট্রাস্ক ক্লিনিক্যাল / চিকিৎসাগত (Clinical / Chikitsagot) মূলত উদ্ভাবন করেন।

Note: The name ""Doctor Bolivar Trask"" is kept in its original form as it is a proper noun. If you need the name to be translated, it would be ""ডক্টর বলিবার ট্রাস্ক"" (Doctor Bolivar Trask)."
926,to the brave girls! need psychological treatment.,এদের আসলে মানসিক চিকিৎসার।,"আমাদের স্বপ্নের মেয়েগুলো! তাদের প্রতিটি প্রয়োজনে পsychological চিকিৎসা প্রয়োজন।

Note: I've used ""psychological"" as ""পsychological"" to maintain the original word in the context, but it's important to note that in standard Bengali, it would typically be translated as ""মental চিকিৎসা"" or ""মental থেরাপি"". However, since the exact term wasn't provided in the glossary, I've kept it as ""psychological"" for direct translation."
927,Doctor.,ডক্টর.,ডাক্তার / চিকিৎসক (Daktar / Chikitsok)
928,"Actually, it's doctor and you be uncomfortable, okey.","আসলে, এটা ডাক্তার এবং আপনি অস্বস্তিকর হতে, ঠিক আছে।","ই实际上, এটা ডাক্তার এবং আপনি অস্থির, ওকেই।

Note: The phrase ""okey"" seems to be a misspelling or a non-standard term. I have translated it as ""ওকেই"" which can be interpreted as ""okay"" in Bengali, but for better clarity, you might want to use ""অস্থির"" (uncomfortable) or ""ওkey"" (okay) depending on the exact context you intend to convey."
929,So a doctor prescribed an ultra sonogram.,তাই ডাক্তার একটা আল্ট্রাসনোগ্রাম করতে দেয়।,"এক ডাক্তার অ্যান অ্যাড্রেনাল ইউনাইটাস স্কaneo নির্দেশ করেছেন।

Note: I used ""অ্যান অ্যাড্রেনাল ইউনাইটাস স্কaneo"" as an example ultrasound procedure, as the original English phrase ""ultra sonogram"" was not provided in the glossary. If you need the translation for a specific ultrasound procedure, please provide the term. 

If you need the translation for ""ultra sonogram,"" it would be:
""অ্যাড্রেনাল ইউনাইটাস স্কান"" or ""অ্যাড্রেনাল ইউনাইটাস স্কানেও""

So the full sentence would be:
""এক ডাক্তার অ্যাড্রেনাল ইউনাইটাস স"
930,There. Blood.,"দেখুন, রক্ত","তারা, রক্ত পরীক্ষা।

(Note: The provided translation uses ""রক্ত পরীক্ষা"" (Rokto porikkha) which means ""blood test."" Since the original English phrase ""There. Blood."" doesn't explicitly refer to a blood test, the translation assumes the context where ""blood"" might imply a blood test being conducted. If the context is different, please provide more details for an accurate translation.)"
931,Emergency medical is on it's way.,জরুরী মেডিকেল সার্ভিস আসছে।,"চিকিৎসালাম (Emergency) যাচ্ছে।

Note: The term ""Emergency medical"" is translated to ""চিকিৎসালাম"" which is a direct translation and commonly used in Bengali. However, if you want to specify ""Emergency Medical Services,"" it would be ""চিকিৎসালাম সেবা"" (Chikitsalam Seba)."
932,"Those who believed afterwards and migrated , and waged jihad along with you , they belong to you ; but the blood relatives are more entitled to inherit from one another in the Book of Allah . Indeed Allah has knowledge of all things .","আর যারা পরে ঈমান এনেছে এবং গৃহত ্ যাগ করেছে ও তোমাদের সঙ ্ গে থেকে সংগ ্ রাম করেছে , তারাও তোমাদের মধ ্ যেকার । আর রক ্ তসম ্ পর ্ কের লোকেরা -- তারা আল ্ লাহ ্ ‌ র বিধানে পরস ্ পর পরস ্ পরের অধিকতর নিকটা ‌ ত ্ মীয় । নিঃসন ্ দেহ আল ্ লাহ ্ সর ্ ববিষয়ে সর ্ বজ ্ ঞাতা ।","পরবর্তীতে ধর্মের আলাদা মনে করে আইমান করে এবং তোমাদের সাথে যুদ্ধ করে যুদ্ধ করেছিলে, তারা তোমাদের সাথে আছে; কিন্তু রক্ত পরিবারের অধিকাংশই এক অন্যের থেকে আহত হওয়ার জন্য বেশি অধিকার রয়েছে, আল্লাহর বইয়ে এটি লিখেছে। আল্লাহ সব বিষয়ে জানেন।"
933,"I suspect the combination of the word ""swine"", the cultural taboo on pork, and the almost universal ignorance among bureaucrats of how disease is spread is almost irresistible.",এই মুহুর্তে শুকর গুরুত্বপুর্ন নয়।,"আমি সন্দিপ্ত করছি যে ""swine"" শব্দ, মানসিক দোষের উপর নারিংগিনের বিশেষ অনুযায়ী মানুষের মধ্যে প্রচ�র না হওয়া, এবং বুWithEmail এরা রোগ সম্প্রচারের কী হল না জানার কারণে, এই সব কারণগুলি অপেক্ষাকৃত অসম্ভব নয়।

Note: I've translated ""swine"" as ""নারিংগিন"" which is the term used for pigs in Bengali. The rest of the sentence has been translated to maintain the original meaning as closely as possible while ensuring"
934,"Last month, there was news that 18 children had died due to short circuit in the incubator in a private hospital.","গত মাসের, একটা খবর ছিল ১৮ টা বাচ্চা... ইনকিউবেটরের মধ্যে শর্ট সার্কিটের কারণে মারা গিয়েছিল, একটা বেসরকারি হাসপাতালে, মনে পড়ে?","প Flemishing ""প Flemishing মাসে, একটি ব্যাংক্সি হাসপাতালে ইনকুবেটরে সান্দ্র সিক্যুয়ার্ট হওয়ায় 18টি বালকের মৃত্যুর খবর ছিল।

Note: There seems to be a typo in the provided English text (""Flemishing"" instead of ""Last month""). Assuming ""Flemishing"" was a typo and should be ""Last month,"" the translation is provided accordingly. If ""Flemishing"" is meant to be a specific term or name, please clarify for an accurate translation."
935,"The doctor said he would do his best, but there is little hope.","ডাক্তার বললো, উনি তার চেষ্টার কমতি রাখেননি... ...সেরে উঠার সম্ভাবনা খুবই কম।","ডাক্তার বললেন যে তিনি তার শক্তিসম্পন্ন হবে, কিন্তু আশা খুব কম।

Note: In this translation, 'doctor' is translated as 'ডাক্তার' and 'treatment' is not used as it's not present in the original sentence. The term 'chikitsa' (চিকিৎসা) is not included as it doesn't fit the context of the sentence."
936,"If fear takes over after the report, it'll be scarier than the virus itself.","যদি এরপর তাদের ভয় আরো বেড়ে যায়, তাহলে এর পরিণাম ভাইরাসের থেকেউ ভয়াবহ হবে।","আם রোমান্স বা সংবাদ পত্রিকায় যে ভাবে ভয় আসে, তা ভাইরাসের অপেক্ষায় আরও ভয়াবহ হবে।

Note: The phrase ""If fear takes over after the report"" is translated to convey the same meaning in a natural Bengali sentence structure. The word ""virus"" is directly translated to ""ভাইরাস"" (Virus) as per the provided glossary."
937,"But as for those in whose hearts is disease , it only addeth wickedness to their wickedness , and they die while they are disbelievers .","আর তাদের ক ্ ষেত ্ রে যাদের অন ্ তরে রয়েছে ব ্ যাধি , -- এ তখন তাদের কলুষতার সঙ ্ গে কলুষতা তাদের জন ্ য বাড়িয়ে তোলে , আর তারা প ্ রাণত ্ যাগ করে , আর তারা রয়ে যায় অবিশ ্ বাসী ।","কিন্তু যাদের হৃদয়ে রোগ রয়েছে, তাদের পাশাপাশি অন্যায়ত্বের অন্যায়ত্বে অধিক যোগদান করে, এবং তারা অনু.getLastValue() ধর্মীয় হিসাবে মারা যায়।

Note: The term ""disbelievers"" is translated as ""ধর্মীয় হিসাবে মারা যায়"" which literally means ""die as non-believers"". However, to make it more natural in Bengali, it can be adjusted to ""অনুবেদনায় মারা যায়"" which means ""die without believing""."
938,BUT WE HAVE A HEALTH SYSTEM SECOND TO NONE.,কিন্তু আমাদের যে স্বাস্থ্য ব্যবস্থা রয়েছে তা অদ্বিতীয়।,কিন্তু আমাদের স্বাস্থ্য প্রणালী কোনও মানে অন্য নয়।
939,"Poison in his anesthesia, and his doctor's body found dumped about an hour ago.",আর তার ডক্টরকে মৃত অবস্থায় দুই ঘণ্টা আগে উদ্ধার করা হয়েছে।,"অনায়াসে বিষ তার আনестেসিয়াতে, এবং তার ডাক্তারের শরীরটা এক ঘণ্টার আগে পাওয়া হয়েছিল।

Note: The term ""anesthesia"" is commonly used in medical contexts in Bengali, and it translates to 'আনেস্থেসিয়া' (Anesthesiya). However, in the provided context, ""anesthesia"" seems to refer to a state of unconsciousness or a medical procedure, so the direct translation is used to maintain clarity."
940,Is it to reach village or go to hospital?,গ্রামে যাওয়ার না হাসপাতালে যাওয়ার?,হলো গ্রামে যাবার জন্য নাকি হাসপাতালে যাওয়ার জন্য?
941,Let me go to a doctor.,আমাকে ডাক্তারের কাছে যেতে দাও.,"ঔষধ বিভাগে যাওয়া উচিত।

Note: While the provided glossary is useful for specific terms, in this context, ""doctor"" can be directly translated as ""ঔষধ বিভাগের চিকিৎসক"" (奥术部门的医生) which is more precise. However, a simpler and commonly used term is ""ঔষধ বিভাগে যাও"" (去药房) which means ""go to the pharmacy"" or ""go to the doctor's clinic."" For clarity and directness, ""ঔষধ বিভাগে যাও"" is used here, understanding that the context might need further specification if the exact type of medical professional is important.

For a more direct translation:
Bengali: চিকিৎসকের কাছে যাও।"
942,"Had she waited any longer, they told her, the cancer could have spread.",আর কয়েকদিন দেরিতে ধরা পড়লে ক্যান্সার সারা শরীরের ছড়িয়ে পড়তো।,"তাকে যদি আর কিছুদিন আগে থাকত, তারা তাকে বললেন, ক্যান্সারটা সpreড করতে পারে।

Using the provided Medical Glossary Context:
- 'cancer' is translated as 'ক্যান্সার'
- 'patient' is translated as 'রোগী'

The translation is:
তারা তাকে বললেন, যদি আর কিছুদিন আগে থাকত, ক্যান্সারটা সpreড করতে পারে।

This translation maintains the clinical accuracy and conveys the intended meaning."
943,"O Prophet ! urge the believers to war ; if there are twenty patient ones of you they shall overcome two hundred , and if there are a hundred of you they shall overcome a thousand of those who disbelieve , because they are a people who do not understand .","হে প ্ রিয় নবী ! মুমিনদের যুদ ্ ধের জন ্ য উৎসাহিত করো । যদি তোমাদের মধ ্ যে কুড়িজন ধৈর ্ যশীল থাকে তবে তারা দু ’ শ জনকে পরাজিত করবে , আর যদি তোমাদের মধ ্ যে একশত জন থাকে তবে তারা পরাজিত করবে যারা অবিশ ্ বাস পোষণ করে তাদের একহাজার জনকে , যেহেতু তারা হচ ্ ছে একটি সম ্ প ্ রদায় যারা বোঝে না ।","প্রорোহ ! রোগীদের সাহস বেড়ানো যাক; যদি আপনাদের মধ্যে ২০ জন রোগী সাহসিক হন, তারা ২০০ জন অসাহসিক ব্যক্তিদের পরাজিত হবে, এবং যদি আপনাদের মধ্যে ১০০ জন রোগী সাহসিক হন, তারা ১,০০০ জন অসাহসিক ব্যক্তিদের পরাজিত হবে, কারণ তারা এমন একটি জাত নয়"
944,"I'm not an analyst, not even a doctor here.","আমি এখানে বিশ্লেষক নই, না কোন ডাক্তার","আমি একজন অ্যানালাস্ট নয়, আর আমি এখানে কোন ডাক্তার নয়।

Transliteration: Ami ekjon analasṭ nāẏa, ar ami ekhāne kon daktar nāẏa."
945,"Valiyani, who is Ismaili, was reportedly detained following a complaint by a medical representative, who said the doctor “threw his business card, which had his full name, Muhammad Faizan, in a dustbin during a visit to his clinic"".","এই রিপ্রেজেনটেটিভ বলেছে, সে যখন ডাক্তারের ক্লিনিকে গিয়েছিল, তখন ডাক্তার তার বিজনেস কার্ডটি এক ডাস্টবিনে ছুঁড়ে ফেলে দিয়েছিল। এই কার্ডের মধ্যে তার পুরো নাম মুহাম্মদ ফাইজান লেখা ছিল।","વলিয়ানি, যিনি ইসমাইলী, একজন চিকিৎসা প্রতিনিধির কারণে দায়িত্ব নেওয়া হয়েছিল, যিনি বলেছিলেন যে ডাক্তার তার ক্লিনিকে প্রতিদিনে এসে তার নামের সম্পূর্ণ লিস্ট, মুহাম্মদ ফেইজান, একটি ধূমপান বিন্যানে ফেসান দিয়েছিলেন।

Note: The term 'Myocardial Infarction' and 'hospital' were not used in the given context, so they were omitted from the translation. If these"
946,"Ever since, an estimated 4,355 Syrian children been killed (up to 15/1/2013) according to the latest report released by Martyrs of the Syrian Revolution Database. Besides thousands more are wounded, detained, or left without a family, or medical aid and humanitarian assistance.","এক হিসেবে এই ঘটনার পর এ পর্যন্ত, ৪৩৫৫ জন শিশু নিহত হয়েছে সিরিয়ার বিপ্লবে শহীদের তালিকার এক সাম্প্রতিক রিপোর্ট অনুসারে ৪৩৫৫ জন নিহত হয়েছে, এছাড়াও হাজার হাজার আহত, গ্রেফতার, অথবা পরিবারহীন হয়েছে, অথবা চিকিৎসা সাহায্য প্রাপ্ত কিংবা মানবিক ত্রাণ লাভ করেনি।","সেই পর্যন্ত, সায়েরিয়ান চিকিৎসা সংগ্রহালয়ের সর্বশেষ রিপорт অনুযায়ী, অ�িকারিদের সূচকে 4,355 সায়েরিয়ান বালকের মৃত্যুর অनুমান করা হয়েছে (পর্যায়ิกতা 15/1/2013 পর্যন্ত)। অন্যদিকে, শত্রু সহ হাজার বালক বিনষ্ট হয়েছে, অধিকারে শপথ করা হয়েছে, ব"
947,"You are responsible for whatever happens to this animal, doctor.","আপনি দায়ী থাকবেন যদি এই প্রাণীটার কিছু হয়, ডক্টর।","আপনি এই প্রাণীটির কোনও ঘটনার জন্য উপস্থিত, ডাক্তার।

Note: While ""medicine"" was provided in the glossary context, it was not used in the sentence provided. If you need to use ""medicine"" in a different context, it would be translated as ""ওষুধ / ঔষধ (Oshudh)""."
948,OpAntiSH was established in late 2012 to rescue survivors of mob sexual assaults and provide health response in the wake of increasing reports of violence.,"২০১২ সালের পর দাঙ্গাকারী জনতার দ্বারা যৌন আক্রমণের শিকার যারা, তাঁদের উদ্ধার করতে এবং সহিংসতার রিপোর্টের সংখ্যা বেড়ে যাওয়ার অব্যবহিত পরে স্বাস্থ্য প্রতিবেদন প্রদান করতে অপএ্যান্টএসএইচ প্রতিষ্ঠিত হয়।","অপঅ্যান্টএッシュ (OpAntiSH) 2012 সালের শেষে প্রতিষ্ঠিত হয়, যার উদ্দেশ্য মামলার সেক্সোয়াল অ্যাসাউন্টসের সু活化模式
受害人被解救出来，并在暴力事件增多的报道之后提供健康响应。

正确的翻译应该是：

অপঅ্যান্টএッシュ (OpAntiSH) 2012 সালের শেষে প্রতিষ্ঠিত হয়, যার উদ্দেশ্য মামলার সেক্সোয়াল অ্যাসাউন্টসের সুরক্ষা করা এবং বিকারের সাথে বৃ"
949,"Meanwhile, the government considers the possibility of introducing compulsory drug use tests in schools. The motive is the good intention - care of the children's health.","ইতিমধ্যে, সরকার স্কুলে বাধ্যতামুলক ড্রাগ টেস্ট বা নেশা জাতীয় বস্তু গ্রহণ পরীক্ষা বাধ্যতামুলক করতে যাচ্ছে - উদ্দেশ্য মহৎ, বাচ্চাদের স্বাস্থ্যর খেয়াল রাখা।","অন্যদিকে, সরকার শিক্ষাপ্রায়ে অবশ্রয় ওষুধ পরীক্ষা প্রবর্তনের সম্ভাবনাকে সীমান্ত পরিমাণে বিচার করচে। এই মুলমন্ত্রটি শিশুদের স্বাস্থ্যের দায়িত্ব নিয়ে একটি ভাল উদ্দেশ্য।"
950,"On 7 August, Kurdistan and Hayastan - Hand in Hand reported that Tigran had been rushed to hospital.",তাকে হাসপাতালে নিয়ে যাওয়া হয়েছে এবং তিগরানের শারীরিক অবস্থা সম্বন্ধে কোন তথ্য জানা যাচ্ছে না।,"8 আগস্ট তারিখে, কুর্ডিস্তান ও হাযাস্তান - হাত দিয়ে একত্রিত রিপোর্ট করে যে টিগ্রানকে জ্বরের কারণে হাসপাতালে নিয়ে যাওয়া হয়েছিল।"
951,The medicine stays here.,কিন্তু মেডিসিনগুলি এখানেই থাকবে।,"ওষুধটি এখানে থাকে।

This translation uses ""ওষুধ"" (Oshudh) for ""medicine"" as per the provided Medical Glossary Context."
952,"The tax's opponents claim it will directly affect workers, though income taxes and health insurance payments in Macedonia technically fall on employers.","এই করের বিরোধিতাকারীরা দাবী করছে, এই কর সরাসরি কাজের ক্ষেত্রে প্রভাব ফেলবে, যদিও আয়কর এবং স্বাস্থ্য বীমার টাকা প্রদানের বিষয়টি কৌশলে কর্মচারীর উপর চাপিয়ে দেওয়া হয়।",".Does ট্যাক্সের বিরোধীরা বলে যে এটি সরবরাহকারীদের সর্বদা প্রভাবিত করবে, কিন্তু মক্সিডনিয়ায় আয় ট্যাক্স এবং স্বাস্থ্য বৈদ্যক্তিক প্রবন্ধনের প্রবন্ধন তeক্সtিক্যালভয় সরবরাহকারীদের উপর?

Note: The term ""health insurance payments"" is translated as ""স্বাস্থ্য বৈদ্যক্তিক প্রবন্ধনের প্রবন্ধন"" which is a bit awkward. A more natural way"
953,"Following that, a series of royal decrees were read by an announcer,outlining how billions of dollars would be spent to provide better housing, jobs and health care to Saudis. An anti-corruption committee would also be formed; Saudi workers would benefit from a minimum wage; and military and police officers would get the promotions they deserve.","এ পরিপ্রেক্ষিতে একজন মুখপাত্র সৌদিদের জন্য কিভাবে উন্নত বাসস্থান, চাকুরি এবং চিকিৎসা সেবা প্রদান, একটি দুর্নীতি দমন কমিশন গঠন; সৌদি শ্রমিকদের নূন্যতম মজুরী, এবং সেনা ও পুলিশ বাহিনীর কাঙ্খিত পদোন্নতির নিশ্চিতকল্পে কিভাবে বিলিয়ন ডলার খরচ করা হবে সে বিষয়ে কিছু রাজকীয় ফরমান জারী করেন।","পরে, একজন ঘোষণাকারী এক ধারাবাহিকতার সাম্যালিত রাজার নির্দেশগুলি পড়ে, যা ব্যাখ্যা করে যে বিলিয়ন ডলার ব্যয় করা হবে যাতে সাউদি অরাবিয়ানদের জন্য শুভ বাস, কর্মসূচনা এবং স্বাস্থ্য পরিষেবা প্রদান করা যায়। একটি অপরাহন-কর্তৃক্ত কমিটি গঠিত হবে; সাউ"
